
    Sonde serial number                          	M4643053
    Sonde type                                   	RS92-SGP
    Release point longitude                      	73.83�E
    Release point latitude                       	19.90�N
    Release point height from sea level          	1151 m
    Balloon release date and time                	2022-03-28T14:31:19

   n HeightMSL  Temp     P RH Dir Speed  MRI
             m    �C    mb  %   �   m/s     
 336      2423  23.8 820.8 23 300   4.0  533
 337      2427  23.8 820.5 23 300   4.0  533
 338      2430  23.7 820.1 23 300   4.0  534
 339      2434  23.7 819.8 23 300   4.0  534
 340      2437  23.7 819.5 23 300   4.0  535
 341      2441  23.6 819.1 23 301   4.0  535
 342      2445  23.6 818.8 23 301   4.0  536
 343      2448  23.6 818.4 23 301   4.0  536
 344      2452  23.5 818.1 23 301   4.0  537
 345      2455  23.5 817.8 23 301   4.0  537
 346      2459  23.5 817.5 23 301   4.0  538
 347      2462  23.4 817.2 23 301   4.0  538
 348      2465  23.4 816.9 23 301   3.9  539
 349      2468  23.4 816.6 23 301   3.9  539
 350      2471  23.3 816.3 23 301   3.9  540
 351      2475  23.3 816.0 23 301   3.9  540
 352      2478  23.3 815.7 23 301   3.9  540
 353      2481  23.2 815.4 23 301   3.9  541
 354      2484  23.2 815.0 24 301   3.9  541
 355      2488  23.2 814.7 24 301   3.9  542
 356      2492  23.2 814.4 24 301   3.9  542
 357      2495  23.1 814.1 24 301   3.9  543
 358      2498  23.1 813.8 24 301   3.9  543
 359      2501  23.1 813.5 24 300   3.8  544
 360      2505  23.0 813.1 24 300   3.8  544
 361      2509  23.0 812.8 24 300   3.8  545
 362      2513  23.0 812.4 24 300   3.8  545
 363      2516  22.9 812.1 24 300   3.8  546
 364      2519  22.9 811.8 24 299   3.8  546
 365      2523  22.9 811.5 24 299   3.8  547
 366      2527  22.8 811.1 24 299   3.8  547
 367      2530  22.8 810.7 24 299   3.7  547
 368      2534  22.8 810.4 24 299   3.7  548
 369      2537  22.7 810.1 24 299   3.7  548
 370      2541  22.7 809.8 24 299   3.7  549
 371      2544  22.7 809.4 24 299   3.7  549
 372      2548  22.6 809.1 23 299   3.7  549
 373      2551  22.6 808.8 23 299   3.7  549
 374      2554  22.6 808.5 23 299   3.7  550
 375      2558  22.5 808.2 23 299   3.7  550
 376      2561  22.5 807.9 23 299   3.7  551
 377      2565  22.5 807.5 23 299   3.7  551
 378      2568  22.4 807.2 23 299   3.7  551
 379      2572  22.4 806.9 23 299   3.7  552
 380      2576  22.4 806.5 23 300   3.7  552
 381      2580  22.3 806.1 23 300   3.6  553
 382      2584  22.3 805.8 23 300   3.6  553
 383      2588  22.3 805.4 23 300   3.6  554
 384      2591  22.2 805.1 23 300   3.6  554
 385      2595  22.2 804.8 23 300   3.6  555
 386      2598  22.2 804.5 23 300   3.6  555
 387      2601  22.1 804.2 23 300   3.7  555
 388      2605  22.1 803.8 23 300   3.7  556
 389      2608  22.1 803.5 23 300   3.7  556
 390      2612  22.0 803.2 23 300   3.7  557
 391      2615  22.0 802.8 23 300   3.7  557
 392      2619  22.0 802.5 23 300   3.7  558
 393      2622  21.9 802.2 23 300   3.7  558
 394      2625  21.9 801.9 23 300   3.8  559
 395      2628  21.9 801.7 23 300   3.8  559
 396      2631  21.8 801.4 24 300   3.8  560
 397      2635  21.8 801.1 24 300   3.9  561
 398      2638  21.8 800.7 24 300   3.9  562
 399      2641  21.7 800.4 25 299   4.0  562
 400      2645  21.7 800.1 25 299   4.0  563
 401      2649  21.7 799.7 25 299   4.1  564
 402      2654  21.6 799.3 25 299   4.1  564
 403      2658  21.6 798.9 25 299   4.2  565
 404      2663  21.5 798.5 25 299   4.2  566
 405      2668  21.5 798.0 26 299   4.3  567
 406      2673  21.4 797.5 26 299   4.4  568
 407      2679  21.4 797.0 26 299   4.4  569
 408      2684  21.3 796.5 26 299   4.5  569
 409      2690  21.3 796.0 26 299   4.6  570
 410      2695  21.2 795.5 26 299   4.6  571
 411      2700  21.2 795.0 26 299   4.7  571
 412      2705  21.1 794.6 26 299   4.7  572
 413      2710  21.1 794.1 27 299   4.8  573
 414      2714  21.0 793.7 27 299   4.8  574
 415      2718  21.0 793.4 27 299   4.9  574
 416      2721  21.0 793.1 27 299   4.9  575
 417      2724  20.9 792.8 27 299   5.0  575
 418      2727  20.9 792.5 27 299   5.0  575
 419      2730  20.9 792.2 27 299   5.0  576
 420      2733  20.8 792.0 27 299   5.0  576
 421      2736  20.8 791.7 27 299   5.1  577
 422      2740  20.8 791.4 27 300   5.1  577
 423      2744  20.7 791.0 27 300   5.1  578
 424      2747  20.7 790.7 27 300   5.1  578
 425      2751  20.7 790.3 27 300   5.1  579
 426      2755  20.6 790.0 27 299   5.2  579
 427      2758  20.6 789.7 27 299   5.2  580
 428      2762  20.6 789.3 27 299   5.2  580
 429      2765  20.5 789.0 27 299   5.2  581
 430      2769  20.5 788.7 27 299   5.2  581
 431      2772  20.5 788.5 27 299   5.2  582
 432      2775  20.4 788.2 27 299   5.3  582
 433      2778  20.4 787.9 28 299   5.3  583
 434      2782  20.4 787.5 28 299   5.3  583
 435      2785  20.3 787.2 28 299   5.3  584
 436      2789  20.3 786.9 28 299   5.4  584
 437      2793  20.3 786.5 28 299   5.4  585
 438      2797  20.2 786.1 28 299   5.4  585
 439      2802  20.2 785.7 28 299   5.4  586
 440      2807  20.1 785.3 28 299   5.4  586
 441      2811  20.1 784.9 28 299   5.5  587
 442      2816  20.1 784.4 28 299   5.5  588
 443      2821  20.0 784.0 28 299   5.5  588
 444      2825  20.0 783.6 28 299   5.5  589
